"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id","peak_offpeak"
"2","BDECEEFB","GO101_25_6723","Grand Central","6723","1","BBA47E8EW","0"
"2","BDECEEFB","GO101_25_6725","Grand Central","6725","1","BBA47E8EW","0"
"2","E17E66F5","GO101_25_6750","Hempstead","6750","0","BBA47E8E","0"
"2","97006089","GO101_25_6750_1","Hempstead","6750","0","BBA47E8E","0"
"2","BDECEEFB","GO101_25_6751","Grand Central","6751","1","BBA47E8EW","0"
"2","E17E66F5","GO101_25_6752","Hempstead","6752","0","BBA47E8E","0"
"2","97006089","GO101_25_6752_1","Hempstead","6752","0","BBA47E8E","0"
"2","BDECEEFB","GO101_25_6753","Grand Central","6753","1","BBA47E8EW","0"
"2","E17E66F5","GO101_25_6754","Hempstead","6754","0","BBA47E8E","0"
"2","97006089","GO101_25_6754_1","Hempstead","6754","0","BBA47E8E","0"
"2","BDECEEFB","GO101_25_6755","Grand Central","6755","1","BBA47E8EW","0"
"2","E17E66F5","GO101_25_6756","Hempstead","6756","0","BBA47E8E","0"
"2","97006089","GO101_25_6756_1","Hempstead","6756","0","BBA47E8E","0"
"2","BDECEEFB","GO101_25_6757","Grand Central","6757","1","BBA47E8EW","0"
"2","BDECEEFB","GO101_25_6759","Grand Central","6759","1","BBA47E8EW","0"
"2","E17E66F5","GO101_25_6760","Hempstead","6760","0","BBA47E8E","0"
"2","97006089","GO101_25_6760_1","Hempstead","6760","0","BBA47E8E","0"
"2","E17E66F5","GO101_25_6762","Hempstead","6762","0","BBA47E8E","0"
"2","97006089","GO101_25_6762_1","Hempstead","6762","0","BBA47E8E","0"
"2","BDECEEFB","GO101_25_6763","Grand Central","6763","1","BBA47E8EW","0"
"2","E17E66F5","GO101_25_6764","Hempstead","6764","0","BBA47E8E","0"
"2","97006089","GO101_25_6764_1","Hempstead","6764","0","BBA47E8E","0"
"2","BDECEEFB","GO101_25_6765","Grand Central","6765","1","BBA47E8EW","0"
"2","E17E66F5","GO101_25_6766","Hempstead","6766","0","BBA47E8E","0"
"2","97006089","GO101_25_6766_1","Hempstead","6766","0","BBA47E8E","0"
"2","BDECEEFB","GO101_25_6767","Grand Central","6767","1","BBA47E8EW","0"
"2","E17E66F5","GO101_25_6768","Hempstead","6768","0","BBA47E8E","0"
"2","97006089","GO101_25_6768_1","Hempstead","6768","0","BBA47E8E","0"
"2","E17E66F5","GO101_25_6769","Grand Central","6769","1","BBA47E8EW","0"
"2","97006089","GO101_25_6769_1","Grand Central","6769","1","BBA47E8EW","0"
"2","E17E66F5","GO101_25_6770","Hempstead","6770","0","BBA47E8E","0"
"2","97006089","GO101_25_6770_1","Hempstead","6770","0","BBA47E8E","0"
"2","E17E66F5","GO101_25_6771","Grand Central","6771","1","BBA47E8EW","0"
"2","10106953","GO101_25_6771_1","Grand Central","6771","1","BBA47E8EW","0"
"2","4ABAEB23","GO101_25_6771_2","Grand Central","6771","1","BBA47E8EW","0"
"2","E17E66F5","GO101_25_6772","Hempstead","6772","0","BBA47E8E","0"
"2","97006089","GO101_25_6772_1","Hempstead","6772","0","BBA47E8E","0"
"2","E17E66F5","GO101_25_6773","Grand Central","6773","1","BBA47E8EW","0"
"2","97006089","GO101_25_6773_1","Grand Central","6773","1","BBA47E8EW","0"
"2","E17E66F5","GO101_25_6774","Hempstead","6774","0","BBA47E8E","0"
"2","97006089","GO101_25_6774_1","Hempstead","6774","0","BBA47E8E","0"
"6","BDECEEFB","GO101_25_6801","Penn Station","6801","1","1EFB3B6DW","0"
"6","BDECEEFB","GO101_25_6802","Long Beach","6802","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6804","Long Beach","6804","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6805","Penn Station","6805","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6806","Long Beach","6806","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6807","Penn Station","6807","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6809","Penn Station","6809","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6810","Long Beach","6810","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6811","Penn Station","6811","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6812","Long Beach","6812","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6813","Penn Station","6813","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6814","Long Beach","6814","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6815","Penn Station","6815","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6816","Long Beach","6816","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6817","Penn Station","6817","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6818","Long Beach","6818","0","1EFB3B6D","0"
"6","BDECEEFB","GO101_25_6820","Long Beach","6820","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6822","Long Beach","6822","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6823","Penn Station","6823","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6825","Penn Station","6825","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6850","Long Beach","6850","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6852","Long Beach","6852","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6853","Penn Station","6853","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6854","Long Beach","6854","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6855","Penn Station","6855","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6856","Long Beach","6856","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6857","Penn Station","6857","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6859","Penn Station","6859","1","1EFB3B6DW","0"
"6","BDECEEFB","GO101_25_6860","Long Beach","6860","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6862","Long Beach","6862","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6863","Penn Station","6863","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6865","Penn Station","6865","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6866","Long Beach","6866","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6867","Penn Station","6867","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6868","Long Beach","6868","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6872","Long Beach","6872","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6873","Penn Station","6873","1","9AE1B4A5W","0"
"6","E17E66F5","GO101_25_6874","Long Beach","6874","0","9AE1B4A5","0"
"6","97006089","GO101_25_6874_1","Long Beach","6874","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6875","Penn Station","6875","1","9AE1B4A5W","0"
"6","7AD37633","GO101_25_6876","Long Beach","6876","0","9AE1B4A5","0"
"6","10106953","GO101_25_6876_1","Long Beach","6876","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6877","Penn Station","6877","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6878","Long Beach","6878","0","9AE1B4A5","0"
"6","7AD37633","GO101_25_6879","Penn Station","6879","1","9AE1B4A5W","0"
"6","10106953","GO101_25_6879_1","Penn Station","6879","1","9AE1B4A5W","0"
"6","BDECEEFB","GO101_25_6880","Long Beach","6880","0","9AE1B4A5","0"
"6","BDECEEFB","GO101_25_6881","Penn Station","6881","1","9AE1B4A5W","0"
"4","BDECEEFB","GO101_25_6902","Greenport","6902","0","54C9D02A","0"
"4","BDECEEFB","GO101_25_6903","Ronkonkoma","6903","1","54C9D02AW","0"
"4","BDECEEFB","GO101_25_6904","Greenport","6904","0","54C9D02A","0"
"4","BDECEEFB","GO101_25_6905","Ronkonkoma","6905","1","54C9D02AW","0"
