"service_id","date","exception_type"
"7C51919F","20250521","1"
"7C51919F","20250522","1"
"7C51919F","20250523","1"
"7C51919F","20250527","1"
"7C51919F","20250528","1"
"7C51919F","20250529","1"
"7C51919F","20250530","1"
"7C51919F","20250602","1"
"7C51919F","20250603","1"
"7C51919F","20250604","1"
"7C51919F","20250605","1"
"7C51919F","20250606","1"
"7C51919F","20250609","1"
"7C51919F","20250610","1"
"7C51919F","20250611","1"
"7C51919F","20250612","1"
"7C51919F","20250613","1"
"7C51919F","20250616","1"
"7C51919F","20250617","1"
"7C51919F","20250618","1"
"7C51919F","20250619","1"
"7C51919F","20250620","1"
"7C51919F","20250623","1"
"7C51919F","20250624","1"
"7C51919F","20250625","1"
"7C51919F","20250626","1"
"7C51919F","20250627","1"
"7C51919F","20250630","1"
"7C51919F","20250701","1"
"7C51919F","20250702","1"
"7C51919F","20250703","1"
"7C51919F","20250707","1"
"7C51919F","20250708","1"
"7C51919F","20250709","1"
"7C51919F","20250710","1"
"7C51919F","20250711","1"
"7C51919F","20250714","1"
"7C51919F","20250715","1"
"7C51919F","20250716","1"
"7C51919F","20250717","1"
"7C51919F","20250718","1"
"7C51919F","20250721","1"
"7C51919F","20250722","1"
"7C51919F","20250723","1"
"7C51919F","20250724","1"
"7C51919F","20250725","1"
"7C51919F","20250728","1"
"7C51919F","20250729","1"
"7C51919F","20250730","1"
"7C51919F","20250731","1"
"7C51919F","20250801","1"
"7C51919F","20250804","1"
"7C51919F","20250805","1"
"7C51919F","20250806","1"
"7C51919F","20250807","1"
"7C51919F","20250808","1"
"7C51919F","20250811","1"
"7C51919F","20250812","1"
"7C51919F","20250813","1"
"7C51919F","20250814","1"
"7C51919F","20250815","1"
"7C51919F","20250818","1"
"7C51919F","20250819","1"
"7C51919F","20250820","1"
"7C51919F","20250821","1"
"7C51919F","20250822","1"
"7C51919F","20250825","1"
"7C51919F","20250826","1"
"7C51919F","20250827","1"
"7C51919F","20250828","1"
"7C51919F","20250829","1"
"2AFBCC72","20250524","1"
"2AFBCC72","20250525","1"
"2AFBCC72","20250526","1"
"2AFBCC72","20250531","1"
"2AFBCC72","20250601","1"
"2AFBCC72","20250607","1"
"2AFBCC72","20250608","1"
"2AFBCC72","20250614","1"
"2AFBCC72","20250615","1"
"2AFBCC72","20250621","1"
"2AFBCC72","20250622","1"
"2AFBCC72","20250628","1"
"2AFBCC72","20250629","1"
"2AFBCC72","20250704","1"
"2AFBCC72","20250705","1"
"2AFBCC72","20250706","1"
"2AFBCC72","20250712","1"
"2AFBCC72","20250713","1"
"2AFBCC72","20250719","1"
"2AFBCC72","20250720","1"
"2AFBCC72","20250726","1"
"2AFBCC72","20250727","1"
"2AFBCC72","20250802","1"
"2AFBCC72","20250803","1"
"2AFBCC72","20250809","1"
"2AFBCC72","20250810","1"
"2AFBCC72","20250816","1"
"2AFBCC72","20250817","1"
"2AFBCC72","20250823","1"
"2AFBCC72","20250824","1"
"2AFBCC72","20250830","1"
"2AFBCC72","20250831","1"
"2AFBCC72","20250901","1"
"A78B9141","20250527","1"
"A78B9141","20250602","1"
"A78B9141","20250609","1"
"A78B9141","20250616","1"
"A78B9141","20250623","1"
"A78B9141","20250630","1"
"A78B9141","20250707","1"
"A78B9141","20250714","1"
"A78B9141","20250721","1"
"A78B9141","20250728","1"
"A78B9141","20250804","1"
"A78B9141","20250811","1"
"A78B9141","20250818","1"
"A78B9141","20250825","1"
"05844E57","20250523","1"
"05844E57","20250530","1"
"05844E57","20250606","1"
"05844E57","20250613","1"
"05844E57","20250620","1"
"05844E57","20250627","1"
"05844E57","20250703","1"
"05844E57","20250711","1"
"05844E57","20250718","1"
"05844E57","20250725","1"
"05844E57","20250801","1"
"05844E57","20250808","1"
"05844E57","20250815","1"
"05844E57","20250822","1"
"05844E57","20250829","1"
"8A42AF8D","20250522","1"
"8A42AF8D","20250523","1"
"8A42AF8D","20250529","1"
"8A42AF8D","20250530","1"
"8A42AF8D","20250605","1"
"8A42AF8D","20250606","1"
"8A42AF8D","20250612","1"
"8A42AF8D","20250613","1"
"8A42AF8D","20250619","1"
"8A42AF8D","20250620","1"
"8A42AF8D","20250626","1"
"8A42AF8D","20250627","1"
"8A42AF8D","20250702","1"
"8A42AF8D","20250703","1"
"8A42AF8D","20250710","1"
"8A42AF8D","20250711","1"
"8A42AF8D","20250717","1"
"8A42AF8D","20250718","1"
"8A42AF8D","20250724","1"
"8A42AF8D","20250725","1"
"8A42AF8D","20250731","1"
"8A42AF8D","20250801","1"
"8A42AF8D","20250807","1"
"8A42AF8D","20250808","1"
"8A42AF8D","20250814","1"
"8A42AF8D","20250815","1"
"8A42AF8D","20250821","1"
"8A42AF8D","20250822","1"
"8A42AF8D","20250828","1"
"8A42AF8D","20250829","1"
"A8B9DD91","20250522","1"
"A8B9DD91","20250529","1"
"A8B9DD91","20250605","1"
"A8B9DD91","20250612","1"
"A8B9DD91","20250618","1"
"A8B9DD91","20250619","1"
"A8B9DD91","20250626","1"
"A8B9DD91","20250702","1"
"A8B9DD91","20250710","1"
"A8B9DD91","20250717","1"
"A8B9DD91","20250724","1"
"A8B9DD91","20250731","1"
"A8B9DD91","20250807","1"
"A8B9DD91","20250814","1"
"A8B9DD91","20250821","1"
"A8B9DD91","20250828","1"
"B47A039E","20250521","1"
"B47A039E","20250522","1"
"B47A039E","20250523","1"
"B47A039E","20250528","1"
"B47A039E","20250529","1"
"B47A039E","20250530","1"
"B47A039E","20250603","1"
"B47A039E","20250604","1"
"B47A039E","20250605","1"
"B47A039E","20250606","1"
"B47A039E","20250610","1"
"B47A039E","20250611","1"
"B47A039E","20250612","1"
"B47A039E","20250613","1"
"B47A039E","20250617","1"
"B47A039E","20250618","1"
"B47A039E","20250619","1"
"B47A039E","20250620","1"
"B47A039E","20250624","1"
"B47A039E","20250625","1"
"B47A039E","20250626","1"
"B47A039E","20250627","1"
"B47A039E","20250701","1"
"B47A039E","20250702","1"
"B47A039E","20250703","1"
"B47A039E","20250708","1"
"B47A039E","20250709","1"
"B47A039E","20250710","1"
"B47A039E","20250711","1"
"B47A039E","20250715","1"
"B47A039E","20250716","1"
"B47A039E","20250717","1"
"B47A039E","20250718","1"
"B47A039E","20250722","1"
"B47A039E","20250723","1"
"B47A039E","20250724","1"
"B47A039E","20250725","1"
"B47A039E","20250729","1"
"B47A039E","20250730","1"
"B47A039E","20250731","1"
"B47A039E","20250801","1"
"B47A039E","20250805","1"
"B47A039E","20250806","1"
"B47A039E","20250807","1"
"B47A039E","20250808","1"
"B47A039E","20250812","1"
"B47A039E","20250813","1"
"B47A039E","20250814","1"
"B47A039E","20250815","1"
"B47A039E","20250819","1"
"B47A039E","20250820","1"
"B47A039E","20250821","1"
"B47A039E","20250822","1"
"B47A039E","20250826","1"
"B47A039E","20250827","1"
"B47A039E","20250828","1"
"B47A039E","20250829","1"
"C8305DB0","20250521","1"
"C8305DB0","20250522","1"
"C8305DB0","20250527","1"
"C8305DB0","20250528","1"
"C8305DB0","20250529","1"
"C8305DB0","20250602","1"
"C8305DB0","20250603","1"
"C8305DB0","20250604","1"
"C8305DB0","20250605","1"
"C8305DB0","20250609","1"
"C8305DB0","20250610","1"
"C8305DB0","20250611","1"
"C8305DB0","20250612","1"
"C8305DB0","20250616","1"
"C8305DB0","20250617","1"
"C8305DB0","20250618","1"
"C8305DB0","20250619","1"
"C8305DB0","20250623","1"
"C8305DB0","20250624","1"
"C8305DB0","20250625","1"
"C8305DB0","20250626","1"
"C8305DB0","20250630","1"
"C8305DB0","20250701","1"
"C8305DB0","20250702","1"
"C8305DB0","20250707","1"
"C8305DB0","20250708","1"
"C8305DB0","20250709","1"
"C8305DB0","20250710","1"
"C8305DB0","20250714","1"
"C8305DB0","20250715","1"
"C8305DB0","20250716","1"
"C8305DB0","20250717","1"
"C8305DB0","20250721","1"
"C8305DB0","20250722","1"
"C8305DB0","20250723","1"
"C8305DB0","20250724","1"
"C8305DB0","20250728","1"
"C8305DB0","20250729","1"
"C8305DB0","20250730","1"
"C8305DB0","20250731","1"
"C8305DB0","20250804","1"
"C8305DB0","20250805","1"
"C8305DB0","20250806","1"
"C8305DB0","20250807","1"
"C8305DB0","20250811","1"
"C8305DB0","20250812","1"
"C8305DB0","20250813","1"
"C8305DB0","20250814","1"
"C8305DB0","20250818","1"
"C8305DB0","20250819","1"
"C8305DB0","20250820","1"
"C8305DB0","20250821","1"
"C8305DB0","20250825","1"
"C8305DB0","20250826","1"
"C8305DB0","20250827","1"
"C8305DB0","20250828","1"
"382015E4","20250521","1"
"382015E4","20250527","1"
"382015E4","20250528","1"
"382015E4","20250602","1"
"382015E4","20250603","1"
"382015E4","20250604","1"
"382015E4","20250609","1"
"382015E4","20250610","1"
"382015E4","20250611","1"
"382015E4","20250616","1"
"382015E4","20250617","1"
"382015E4","20250618","1"
"382015E4","20250623","1"
"382015E4","20250624","1"
"382015E4","20250625","1"
"382015E4","20250630","1"
"382015E4","20250701","1"
"382015E4","20250707","1"
"382015E4","20250708","1"
"382015E4","20250709","1"
"382015E4","20250714","1"
"382015E4","20250715","1"
"382015E4","20250716","1"
"382015E4","20250721","1"
"382015E4","20250722","1"
"382015E4","20250723","1"
"382015E4","20250728","1"
"382015E4","20250729","1"
"382015E4","20250730","1"
"382015E4","20250804","1"
"382015E4","20250805","1"
"382015E4","20250806","1"
"382015E4","20250811","1"
"382015E4","20250812","1"
"382015E4","20250813","1"
"382015E4","20250818","1"
"382015E4","20250819","1"
"382015E4","20250820","1"
"382015E4","20250825","1"
"382015E4","20250826","1"
"382015E4","20250827","1"
"9981EDFD","20250526","1"
"9981EDFD","20250601","1"
"9981EDFD","20250608","1"
"9981EDFD","20250615","1"
"9981EDFD","20250622","1"
"9981EDFD","20250629","1"
"9981EDFD","20250706","1"
"9981EDFD","20250713","1"
"9981EDFD","20250720","1"
"9981EDFD","20250727","1"
"9981EDFD","20250803","1"
"9981EDFD","20250810","1"
"9981EDFD","20250817","1"
"9981EDFD","20250824","1"
"9981EDFD","20250901","1"
"4EDDF45B","20250524","1"
"4EDDF45B","20250531","1"
"4EDDF45B","20250607","1"
"4EDDF45B","20250614","1"
"4EDDF45B","20250621","1"
"4EDDF45B","20250628","1"
"4EDDF45B","20250704","1"
"4EDDF45B","20250712","1"
"4EDDF45B","20250719","1"
"4EDDF45B","20250726","1"
"4EDDF45B","20250802","1"
"4EDDF45B","20250809","1"
"4EDDF45B","20250816","1"
"4EDDF45B","20250823","1"
"4EDDF45B","20250830","1"
"32F0BDBD","20250524","1"
"32F0BDBD","20250525","1"
"32F0BDBD","20250531","1"
"32F0BDBD","20250607","1"
"32F0BDBD","20250614","1"
"32F0BDBD","20250621","1"
"32F0BDBD","20250628","1"
"32F0BDBD","20250704","1"
"32F0BDBD","20250705","1"
"32F0BDBD","20250712","1"
"32F0BDBD","20250719","1"
"32F0BDBD","20250726","1"
"32F0BDBD","20250802","1"
"32F0BDBD","20250809","1"
"32F0BDBD","20250816","1"
"32F0BDBD","20250823","1"
"32F0BDBD","20250830","1"
"32F0BDBD","20250831","1"
"E29017C0","20250523","1"
"E29017C0","20250530","1"
"E29017C0","20250606","1"
"E29017C0","20250613","1"
"E29017C0","20250620","1"
"E29017C0","20250623","1"
"E29017C0","20250624","1"
"E29017C0","20250625","1"
"E29017C0","20250626","1"
"E29017C0","20250627","1"
"E29017C0","20250630","1"
"E29017C0","20250701","1"
"E29017C0","20250702","1"
"E29017C0","20250703","1"
"E29017C0","20250707","1"
"E29017C0","20250708","1"
"E29017C0","20250709","1"
"E29017C0","20250710","1"
"E29017C0","20250711","1"
"E29017C0","20250714","1"
"E29017C0","20250715","1"
"E29017C0","20250716","1"
"E29017C0","20250717","1"
"E29017C0","20250718","1"
"E29017C0","20250721","1"
"E29017C0","20250722","1"
"E29017C0","20250723","1"
"E29017C0","20250724","1"
"E29017C0","20250725","1"
"E29017C0","20250728","1"
"E29017C0","20250729","1"
"E29017C0","20250730","1"
"E29017C0","20250731","1"
"E29017C0","20250801","1"
"E29017C0","20250804","1"
"E29017C0","20250805","1"
"E29017C0","20250806","1"
"E29017C0","20250807","1"
"E29017C0","20250808","1"
"E29017C0","20250811","1"
"E29017C0","20250812","1"
"E29017C0","20250813","1"
"E29017C0","20250814","1"
"E29017C0","20250815","1"
"E29017C0","20250818","1"
"E29017C0","20250819","1"
"E29017C0","20250820","1"
"E29017C0","20250821","1"
"E29017C0","20250822","1"
"E29017C0","20250825","1"
"E29017C0","20250826","1"
"E29017C0","20250827","1"
"E29017C0","20250828","1"
